title,cover,city,region,address,rooms_desc,area_range,all_ready,price,hourseDecoration,company,hourseType,on_time,open_date,tags,totalPrice_range,sale_status,detail_url
福景苑,https://image1.ljcdn.com/newhouse-user-image/f12f1e40cac8ec70c7ee473e2d10770c.jpg,北京,朝阳,亮马桥路46号,"[""1"", ""2"", ""3""]","[""145"", ""268""]",1,83000,毛坯,北京新联协创房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-10-26,"[""\u5730\u94c1\u6cbf\u7ebf"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u5a31\u4e50\u4e30\u5bcc"", ""\u8fd0\u52a8\u5065\u8eab""]","[""1150"", ""2400""]",3,https://bj.fang.lianjia.com/loupan/p_fjyaadoq/
合景寰汇公馆,https://image1.ljcdn.com/newhouse-user-image/892f6e32a1501724b7eb9466c5c19998.jpg,北京,通州,北京市通州区滨河中路西侧（合景寰汇公馆）,"[""2"", ""3""]","[""77"", ""117""]",1,42000,非毛坯,北京恒城房地产开发有限公司,住宅,2020-10-10 10:36:04,2022-09-09,"[""\u7279\u4ef7\u60e0\u9009"", ""\u5546\u52a1\u578b\u516c\u5bd3"", ""\u5730\u94c1\u6cbf\u7ebf"", ""\u591a\u8f68\u4ea4\u6c47""]","[""320"", ""530""]",3,https://bj.fang.lianjia.com/loupan/p_hjzxabjth/
K2十里春风,https://image1.ljcdn.com/hdic-resblock/72dc2c59-b34e-46f7-9e47-f11a9365e41e.jpg,北京,通州,北京市通州区,"[""2"", ""3""]","[""74"", ""90""]",1,23500,毛坯,石榴置业集团股份有限公司,住宅,2018-09-28 11:54:51,2018-08-99,"[""\u4f4e\u603b\u4ef7"", ""\u521a\u9700\u4f18\u9009"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u8fd1\u4e3b\u5e72\u9053""]","[""188"", ""212""]",3,https://bj.fang.lianjia.com/loupan/p_klcfabjxj/
K2十里春风,https://image1.ljcdn.com/hdic-resblock/e488f24a-c19d-4eb2-a87c-1cf02be5b8b4.png,北京,通州,北京市通州区,"[""3""]","[""155"", ""156""]",1,28000,毛坯,石榴置业集团股份有限公司,别墅,2019-06-24 14:43:59,2018-04-99,"[""\u4f4e\u603b\u4ef7"", ""\u7279\u4ef7\u60e0\u9009"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u8fd1\u4e3b\u5e72\u9053""]","[""440"", ""460""]",3,https://bj.fang.lianjia.com/loupan/p_klcfabjxk/
玺萌壹號院,https://image1.ljcdn.com/hdic-resblock/377b492d-919d-4740-9060-383b272f3c28.jpg,北京,丰台,西南三环嘉园路与镇国寺北街交叉口,"[""5"", ""6""]","[""320"", ""464""]",1,90000,毛坯,北京玺萌置业有限公司,别墅,2020-01-03 11:46:06,2022-06-29,"[""\u5730\u94c1\u6cbf\u7ebf"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168"", ""\u6210\u719f\u5546\u5708""]","[""3650"", ""4500""]",3,https://bj.fang.lianjia.com/loupan/p_xmyhyabkdz/
北京书院,https://image1.ljcdn.com/hdic-resblock/38cdbd1b-4f2b-4a4f-b9eb-bab51a0051c3.jpg,北京,朝阳,北京市朝阳区北土城东路辅路,"[""1"", ""2"", ""3""]","[""67"", ""139""]",1,155000,,北京远洋一品房地产开发有限公司,住宅,2019-11-22 15:33:45,2022-01-01,"[""\u5730\u94c1\u6cbf\u7ebf"", ""\u591a\u8f68\u4ea4\u6c47"", ""\u914d\u5957\u9f50\u5168"", ""\u6210\u719f\u5546\u5708""]","[""1100"", ""1570""]",3,https://bj.fang.lianjia.com/loupan/p_yyypsyabkmd/
中铁华侨城和园,https://image1.ljcdn.com/hdic-resblock/0807ea39-2a37-46be-b920-ccbe39bb3c58.png,北京,大兴,南五环南海子公园西侧约500米,"[""3"", ""4""]","[""154"", ""184""]",1,60000,毛坯,北京中铁华兴房地产开发有限公司,住宅,2020-04-10 16:22:34,2020-12-29,"[""\u7eff\u91d1\u6848\u573a"", ""\u5730\u94c1\u6cbf\u7ebf"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""1030""]",3,https://bj.fang.lianjia.com/loupan/p_zthqchyabkzk/
顺鑫颐和天璟,https://image1.ljcdn.com/hdic-resblock/ab7670bd-d554-4398-9fc8-31d1f99f1e8a.jpg,北京,顺义,北京市顺义区牛栏山镇牛富路顺鑫颐和天璟禧润售楼中心,"[""3"", ""4""]","[""110"", ""220""]",1,28000,非毛坯,北京顺鑫佳宇房地产开发有限公司,住宅,2020-07-27 14:42:02,2022-09-09,"[""\u4f4e\u603b\u4ef7"", ""\u521a\u9700\u4f18\u9009"", ""\u73af\u7ebf\u623f"", ""\u6210\u719f\u5546\u5708""]","[""340"", ""560""]",3,https://bj.fang.lianjia.com/loupan/p_sxyhtjablgw/
顺鑫颐和天璟,https://image1.ljcdn.com/newhouse-user-image/d8c24df36adccd63d14419e881bfc914.jpg,北京,顺义,新城右堤路与昌金路交汇处向北200米,"[""3"", ""4""]","[""278"", ""486""]",1,28000,毛坯,北京顺鑫佳宇房地产开发有限公司,别墅,2019-01-11 12:02:04,2022-09-09,"[""\u4f4e\u603b\u4ef7"", ""\u660e\u661f\u6237\u578b"", ""\u7279\u4ef7\u60e0\u9009"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""950"", ""1200""]",3,https://bj.fang.lianjia.com/loupan/p_sxyhtjablgz/
永旺19街,https://image1.ljcdn.com/hdic-resblock/6f431fa4-ae1b-400f-bf41-99c4932222a1.jpg,北京,大兴,地铁生物医药基地站向南200米,"[""""]","[""""]",1,24000,毛坯,北京松旅科技中心（有限合伙）,商业,2017-10-27 16:45:58,2019-04-01,"[""\u5730\u94c1\u6cbf\u7ebf"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168"", ""\u6210\u719f\u5546\u5708""]","[""300""]",3,https://bj.fang.lianjia.com/loupan/p_jkgdablvf/
