title,cover,city,region,address,rooms_desc,area_range,all_ready,price,hourseDecoration,company,hourseType,on_time,open_date,tags,totalPrice_range,sale_status,detail_url
天地新城,https://image1.ljcdn.com/hdic-resblock/5e71573a-e704-40e2-bf6a-aa29cccfd111.jpg,保定,涿州,冠云路与火炬南街交叉口南行300米,"[""3"", ""4""]","[""87"", ""145""]",1,8500,毛坯,北京田家园房地产开发有限公司涿州分公司,住宅,2017-03-16 15:21:35,2020-09-02,"[""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957"", ""\u73b0\u623f""]","[""68"", ""142""]",3,https://bd.fang.lianjia.com/loupan/p_tdxcqcaauwn/
朝阳首府彤园,https://image1.ljcdn.com/hdic-resblock/1af31235-8cd5-4263-be9a-d92b526550ca.jpg,保定,竞秀区,朝阳北大街朝阳首府*彤园,"[""1"", ""2""]","[""43"", ""79""]",1,9000,,保定市民生房地产开发有限公司,商业类,2018-11-02 19:32:08,2018-08-31,"[""\u516c\u4ea4\u76f4\u8fbe"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u7f8e\u98df\u4e91\u96c6"", ""\u533b\u7597\u914d\u5957""]","[""0""]",3,https://bd.fang.lianjia.com/loupan/p_zysfybilxs/
石榴·翡翠山,https://image1.ljcdn.com/hdic-resblock/3275aee7-14bd-46db-8277-6f823ab3ded5.jpg,保定,竞秀区,乐凯大街石榴·翡翠山,"[""2"", ""3"", ""4""]","[""39"", ""68""]",1,9500,,,商业类,2018-09-11 11:06:19,2018-08-01,"[""\u8d2d\u7269\u65b9\u4fbf"", ""\u7f8e\u98df\u4e91\u96c6"", ""\u533b\u7597\u914d\u5957"", ""\u5c0f\u6237\u578b""]","[""85""]",3,https://bd.fang.lianjia.com/loupan/p_slcsbimpv/
隆基泰和铂悦山,https://image1.ljcdn.com/hdic-resblock/a6e00971-1c06-4606-a068-15984e107f98.jpg,保定,涿州,琉璃河隆基泰和铂悦山,"[""3""]","[""101"", ""125""]",1,12000,毛坯,涿州长隆房地产开发有限公司,住宅,2019-01-11 10:42:55,2019-06-15,"[""\u8d2d\u7269\u65b9\u4fbf"", ""\u7f8e\u98df\u4e91\u96c6"", ""\u533b\u7597\u914d\u5957"", ""VR\u770b\u623f""]","[""116"", ""164""]",3,https://bd.fang.lianjia.com/loupan/p_ljthbysbinar/
中诚碧桂园璟公馆,https://image1.ljcdn.com/newhouse-user-image/e2582c1e0c13cf39512171896171c677.jpg,保定,竞秀区,锦绣街与鲁岗路交叉口西北角,"[""1""]","[""40"", ""72""]",1,13000,非毛坯,保定筑诚房地产开发有限公司,商业类,2018-09-25 09:57:12,2018-08-18,"[""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957"", ""\u5c0f\u6237\u578b""]","[""0""]",3,https://bd.fang.lianjia.com/loupan/p_zcbgyjggbiobr/
丽斯花园,https://image1.ljcdn.com/newhouse-user-image/abacc757e15a8a2e8673c066705cb528.jpg,保定,高碑店,新华南大街丽斯花园,"[""2"", ""3"", ""5""]","[""84"", ""199""]",1,9500,,河北路云乾房地产开发有限公司,住宅,2018-10-11 20:43:38,2018-09-11,"[""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957""]","[""0""]",3,https://bd.fang.lianjia.com/loupan/p_lshybivtl/
鹏渤·印象城,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,保定,涿州,龙马路鹏渤·印象城,"[""2"", ""3""]","[""80"", ""121""]",1,8500,毛坯,涿州市飞腾房地产开发有限公司,住宅,2019-01-11 10:44:18,2020-10-01,"[""\u4e34\u8fd1\u9ad8\u901f"", ""\u914d\u5957\u9f50\u5168"", ""\u6210\u719f\u5546\u5708"", ""\u4e09\u7532\u533b\u9662""]","[""70"", ""98""]",3,https://bd.fang.lianjia.com/loupan/p_pbxcbjezq/
凤凰国际,https://image1.ljcdn.com/newhouse-user-image/fcde98217407be220e88c221de297b44.jpg,保定,高碑店,友谊路凤凰国际,"[""1"", ""3""]","[""41"", ""112""]",1,9000,毛坯,河北凤凰房地产开发有限公司,住宅,2019-09-29 14:15:26,2019-07-20,"[""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957"", ""\u5c0f\u6237\u578b""]","[""45"", ""102""]",3,https://bd.fang.lianjia.com/loupan/p_fhgjbkmlc/
中新悦朗,https://image1.ljcdn.com/newhouse-user-image/c9270ed17ed2f286305f009af477a615.jpg,保定,高碑店,京港澳高速中新悦朗,"[""2"", ""3"", ""4""]","[""78"", ""129""]",1,8500,,高碑店市阿尔伯特园房地产开发有限公司,住宅,2019-10-10 17:29:09,2019-10-03,"[""\u8d2d\u7269\u65b9\u4fbf"", ""\u5c0f\u6237\u578b"", ""\u73b0\u623f"", ""\u666f\u533a""]","[""63""]",3,https://bd.fang.lianjia.com/loupan/p_zxylbknag/
英伦名郡,https://image1.ljcdn.com/newhouse-user-image/25c9c06964f07458bc046d425f9d62f9.jpg,保定,高碑店,新华南大街英伦名郡,"[""1"", ""2"", ""3""]","[""55"", ""128""]",1,0,毛坯,河北鹏达房地产开发有限公司,住宅,2019-10-15 11:31:28,2019-09-01,"[""\u8d2d\u7269\u65b9\u4fbf"", ""\u5a31\u4e50\u4e30\u5bcc"", ""\u533b\u7597\u914d\u5957"", ""\u5c0f\u6237\u578b""]","[""0""]",3,https://bd.fang.lianjia.com/loupan/p_ylmjbknkx/
碧桂园·悦公馆,https://image1.ljcdn.com/hdic-resblock/365b1993-6bca-4090-a731-76fef6f5dfb1.png,保定,竞秀区,七一路碧桂园·悦公馆,"[""""]","[""""]",1,0,,,车库,2019-11-01 09:45:19,2017-12-99,"[""\u516c\u4ea4\u76f4\u8fbe"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u5a31\u4e50\u4e30\u5bcc"", ""\u533b\u7597\u914d\u5957""]","[""0""]",3,https://bd.fang.lianjia.com/loupan/p_bgyggbkoou/
嘉禾直隶新城花都,https://image1.ljcdn.com/newhouse-user-image/85a6d5bd1ffd7ed1a60d841abc43173b.jpg,保定,竞秀区,乐凯北大街,"[""1"", ""3""]","[""70"", ""122""]",1,13500,毛坯,,住宅,2019-11-12 14:12:32,2017-12-99,"[""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957""]","[""0""]",3,https://bd.fang.lianjia.com/loupan/p_jhzlxchdbkpio/
IFC国际金融中心,https://image1.ljcdn.com/newhouse-user-image/04ccf0cf759977112ab7229415a497dc.jpg,保定,涿州,鹏程大街IFC国际金融中心,"[""1"", ""2"", ""3""]","[""37"", ""96""]",1,7500,毛坯,涿州千喜鹤房地产开发有限公司,商业类,2019-12-02 17:50:28,2020-05-28,"[""\u8d2d\u7269\u65b9\u4fbf"", ""\u7f8e\u98df\u4e91\u96c6"", ""\u533b\u7597\u914d\u5957"", ""3D\u697c\u4e66""]","[""29"", ""76""]",3,https://bd.fang.lianjia.com/loupan/p_IFCgjjrzxbkqrl/
华侨城·城市客厅,https://image1.ljcdn.com/newhouse-user-image/d5baae2eb29db340d05234dcc9e69116.jpg,保定,涿州,河北省保定市涿州市,"[""2"", ""3"", ""4""]","[""85"", ""128""]",1,9000,毛坯,华侨城涿州文化旅游开发有限公司,住宅,2021-04-07 10:46:44,2021-07-15,"[""\u8fd1\u4e3b\u5e72\u9053"", ""\u5f00\u53d1\u533a"", ""\u4eb2\u5b50\u4e50\u56ed"", ""\u65e9\u6559\u673a\u6784""]","[""65"", ""150""]",3,https://bd.fang.lianjia.com/loupan/p_hqccsktblvgu/
金域中央,https://image1.ljcdn.com/newhouse-user-image/f9dc103a12e18c26bbb9344e5c7cfede.jpg,保定,涿州,东大街金域中央,"[""2"", ""3""]","[""84"", ""114""]",1,9000,毛坯,涿州市联合房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-01-21,"[""\u73b0\u623f"", ""\u7eff\u5316\u7387\u9ad8""]","[""84.52"", ""102""]",3,https://bd.fang.lianjia.com/loupan/p_jyzybmbsc/
天保智慧城,https://image1.ljcdn.com/newhouse-user-image/71fa1598714a32950d5f03171c88a067.jpg,保定,涿州,高新区永济东路北侧、鹏程大街东侧,"[""""]","[""""]",1,5500,毛坯,天保房地产集团有限公司,商业,0000-00-00 00:00:00,2023-04-01,"[""\u4f4e\u603b\u4ef7"", ""\u8f66\u4f4d\u5145\u8db3""]","[""24""]",3,https://bd.fang.lianjia.com/loupan/p_tbzhcbmbsg/
中冶未来城,https://image1.ljcdn.com/newhouse-user-image/f1c89795f339b4b3b42bc7fb69270393.jpg,保定,涿州,花田路中冶未来城,"[""3""]","[""89"", ""139""]",1,9000,毛坯,涿州市中冶名诚房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-04-16,"[""\u82b1\u56ed\u6d0b\u623f"", ""\u73b0\u623f"", ""\u4f4e\u5bc6\u5c45\u6240""]","[""80"", ""160""]",3,https://bd.fang.lianjia.com/loupan/p_zywlcbmbsh/
京涿和樾湾,https://image1.ljcdn.com/newhouse-user-image/73ca9af7605a611a9ee9009db45caa29.jpg,保定,涿州,河北省保定市涿州市北港村,"[""2"", ""3""]","[""79"", ""120""]",1,0,毛坯,涿州市华隆众达房地产开发有限公司,住宅,0000-00-00 00:00:00,,"[""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a""]","[""0""]",1,https://bd.fang.lianjia.com/loupan/p_jzhywbmbsi/
中国铁建樾府国际,https://image1.ljcdn.com/newhouse-user-image/0399705da76a57bd4976939dbfe8136b.jpg,保定,涿州,龙马路与腾飞大街交叉口东北侧,"[""2"", ""3""]","[""81"", ""119""]",1,9700,非毛坯,涿州荣富房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-11-10,"[""\u591a\u8f68\u4ea4\u6c47"", ""\u6210\u719f\u5546\u5708"", ""3D\u697c\u4e66"", ""VR\u770b\u623f""]","[""73"", ""145""]",3,https://bd.fang.lianjia.com/loupan/p_zgtjyfgjbmgpn/
滨江郦城,https://image1.ljcdn.com/newhouse-user-image/5d076f6759200f9ac8a6f55b33c94443.jpg,保定,涿州,花田路滨江郦城,"[""2"", ""3"", ""4""]","[""82"", ""143""]",1,8800,毛坯,涿州侨城惠房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-10-23,"[""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""3D\u697c\u4e66"", ""VR\u770b\u623f""]","[""75"", ""240""]",3,https://bd.fang.lianjia.com/loupan/p_bjlcbmgzq/
汇元-玖號院,https://image1.ljcdn.com/newhouse-user-image/990a1ea0a9441bd01be143e5334d695e.jpg,保定,涿州,龙马路汇元-玖號院,"[""2"", ""3"", ""5""]","[""85"", ""186""]",1,8070,毛坯,涿州市鑫昊汇元房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-07-01,"[""\u590d\u5f0f"", ""\u7eff\u5316\u7387\u9ad8"", ""\u5c0f\u578b\u793e\u533a""]","[""69"", ""180""]",3,https://bd.fang.lianjia.com/loupan/p_hyjhybmhyj/
学府澜湾二期,https://image1.ljcdn.com/newhouse-user-image/5053b13f8e589e19593da9e7f6d99def.jpg,保定,涿州,诚信路学府澜湾二期,"[""3"", ""4""]","[""90"", ""155""]",1,7900,毛坯,涿州市瑞辰房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-10-99,"[""\u82b1\u56ed\u6d0b\u623f"", ""\u4f4e\u5bc6\u5c45\u6240"", ""\u7eff\u5316\u7387\u9ad8""]","[""90"", ""109""]",3,https://bd.fang.lianjia.com/loupan/p_xflweqbmoou/
天伦湾凤麟府,https://image1.ljcdn.com/newhouse-user-image/a2b3d794f1f6b750bf589308bf1a8c15.jpg,保定,涿州,华阳路天伦湾凤麟府,"[""3"", ""4"", ""5"", ""6""]","[""113"", ""175""]",1,12000,毛坯,河北润卓房地产开发有限公司,住宅,0000-00-00 00:00:00,2022-06-02,"[""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u79d1\u6280\u4f4f\u5b85""]","[""117"", ""260""]",3,https://bd.fang.lianjia.com/loupan/p_tlwflfbmqxw/
中冶未来城二期,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,保定,涿州,花田路中冶未来城二期,"[""3"", ""4""]","[""108"", ""165""]",1,9200,毛坯,涿州市中冶名诚房地产开发有限公司,住宅,0000-00-00 00:00:00,,"[""\u82b1\u56ed\u6d0b\u623f"", ""\u4f4e\u5bc6\u5c45\u6240"", ""\u7eff\u5316\u7387\u9ad8""]","[""100"", ""230""]",3,https://bd.fang.lianjia.com/loupan/p_zywlceqbmsna/
乾城华府,https://image1.ljcdn.com/hdic-resblock/fc27d814-5a37-4bac-922f-df9eaed7c448.jpg,保定,高碑店,白沟京白路与团结路交叉口东行200路北,"[""3""]","[""122""]",1,11500,毛坯,河北乾城房地产开发有限公司,住宅,2018-05-25 15:07:50,2018-02-28,"[""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957"", ""\u73b0\u623f""]","[""183""]",3,https://bd.fang.lianjia.com/loupan/p_qchfafruh/
翡翠华府,https://image1.ljcdn.com/hdic-resblock/prod-2a5192f6-a255-4057-8017-a05eca01f1f0php3jhBWD,保定,涿州,永济东路翡翠华府,"[""1"", ""2"", ""3""]","[""61"", ""120""]",1,7000,毛坯,河北省涿州市远方名流房地产开发有限公司,住宅,2019-01-11 10:41:23,2018-10-01,"[""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957"", ""\u73b0\u623f""]","[""73""]",4,https://bd.fang.lianjia.com/loupan/p_fchfbjbkn/
宏远·阳光丽景,https://image1.ljcdn.com/newhouse-user-image/2faaf0a4920afa659618abca45c6416a.jpg,保定,涿州,建设路宏远·阳光丽景,"[""2"", ""3""]","[""83"", ""110""]",1,8500,毛坯,涿州市宏远房地产开发有限公司,住宅,2019-10-16 15:56:04,2019-10-19,"[""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957""]","[""72""]",4,https://bd.fang.lianjia.com/loupan/p_hyygljbknoq/
宏远·阳光丽景,https://image1.ljcdn.com/newhouse-user-image/2faaf0a4920afa659618abca45c6416a.jpg,保定,涿州,建设路宏远·阳光丽景,"[""1"", ""2""]","[""53"", ""72""]",1,12000,毛坯,涿州市宏远房地产开发有限公司,商业类,2019-10-16 15:55:12,2019-10-19,"[""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u533b\u7597\u914d\u5957""]","[""64""]",4,https://bd.fang.lianjia.com/loupan/p_hyygljbknor/
观棠上境,https://image1.ljcdn.com/newhouse-user-image/09a4ed3ef08b276d595b541dd4555ed1.jpg,保定,涿州,龙马路与长空路交叉口,"[""2"", ""3""]","[""85"", ""112""]",1,9500,非毛坯,涿州市隆骏房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-07-10,"[""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a""]","[""80""]",4,https://bd.fang.lianjia.com/loupan/p_gtsjbmbsj/
哈弗城D3区,https://image1.ljcdn.com/newhouse-user-image/4fdaff755276c552d90de4a856995650.jpg,保定,徐水区,富园路哈弗城D3区,"[""""]","[""""]",0,0,毛坯,,住宅,0000-00-00 00:00:00,,"[""\u73b0\u623f"", ""\u7eff\u5316\u7387\u9ad8""]","[""0""]",4,https://bd.fang.lianjia.com/loupan/p_hfcD3qbmczo/
云锦世家,https://image1.ljcdn.com/newhouse-user-image/773db29f112b71a4c3a09e772d507beb.jpg,巴彦淖尔,临河区,内蒙古自治区巴彦淖尔市临河区汇丰街道鸿臣云锦世家,"[""2"", ""3""]","[""95"", ""141""]",1,6500,毛坯,内蒙古鸿臣房地产开发有限公司临河分公司,住宅,0000-00-00 00:00:00,2020-01-99,"[""\u4f4e\u603b\u4ef7"", ""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708""]","[""64"", ""89""]",3,https://byne.fang.lianjia.com/loupan/p_bmeuk/
天赋雅苑,https://image1.ljcdn.com/newhouse-user-image/c7949922d14e7ca5b91bfd33db0a3680.jpg,巴彦淖尔,临河区,乌兰布和路天赋雅苑,"[""2"", ""3""]","[""98"", ""139""]",1,6200,毛坯,内蒙古圣科佳房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-05-99,"[""\u4f4e\u603b\u4ef7"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a""]","[""60.7"", ""86""]",3,https://byne.fang.lianjia.com/loupan/p_tfyybmeul/
君诚元小区,https://image1.ljcdn.com/newhouse-user-image/e9ce1945572cc858a13227fada1811f8.jpg,巴彦淖尔,临河区,临五路君诚元小区,"[""3""]","[""87"", ""121""]",1,3600,毛坯,内蒙古喜阳迪房地产开发有限责任公司,住宅,0000-00-00 00:00:00,2017-01-99,"[""\u73b0\u623f"", ""\u4f4e\u5bc6\u5c45\u6240""]","[""31"", ""43.6""]",3,https://byne.fang.lianjia.com/loupan/p_jcyxqbmeuw/
清宜林海岸,https://image1.ljcdn.com/newhouse-user-image/5414921dae651095cb888880e67b7e7b.jpg,巴彦淖尔,临河区,西苑路清宜林海岸,"[""2"", ""3""]","[""92"", ""128""]",1,5000,毛坯,巴彦淖尔市馨禾房地产开发有限责任公司,住宅,0000-00-00 00:00:00,2016-01-99,"[""\u73b0\u623f"", ""\u8f66\u4f4d\u5145\u8db3""]","[""49"", ""67.8""]",3,https://byne.fang.lianjia.com/loupan/p_qylhabmeuz/
大兴国际,https://image1.ljcdn.com/newhouse-user-image/00dcc8e244584ec5d8d4bf73c68d9710.jpg,巴彦淖尔,临河区,临乌线大兴国际,"[""2"", ""3"", ""4""]","[""82"", ""140""]",1,4300,毛坯,内蒙古圣雄房地产开发有限公司,住宅,0000-00-00 00:00:00,2018-07-99,"[""\u4f4e\u603b\u4ef7"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a""]","[""35"", ""61""]",3,https://byne.fang.lianjia.com/loupan/p_dxgjbmeva/
金岸国际,https://image1.ljcdn.com/newhouse-user-image/c5c7e8ce06d12a15a4960cae052e60e7.jpg,巴彦淖尔,临河区,育红街金岸国际,"[""2"", ""3""]","[""85"", ""134""]",1,5400,毛坯,巴彦淖尔市宜立房地产经纪有限公司,住宅,0000-00-00 00:00:00,2019-01-99,"[""\u73b0\u623f"", ""\u8f66\u4f4d\u5145\u8db3""]","[""46"", ""87""]",3,https://byne.fang.lianjia.com/loupan/p_jagjbmevc/
滨河丽景,https://image1.ljcdn.com/newhouse-user-image/b894f161da95c06ac0c6276e8c81e35c.jpg,巴彦淖尔,临河区,北环路滨河丽景,"[""1"", ""2"", ""3""]","[""70"", ""132""]",1,5000,毛坯,巴彦淖尔市亿正房地产开发有限责任公司,住宅,0000-00-00 00:00:00,2020-05-01,"[""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a"", ""\u4e09\u7532\u533b\u9662""]","[""0""]",3,https://byne.fang.lianjia.com/loupan/p_bhljbmevd/
当代华庭二期,https://image1.ljcdn.com/newhouse-user-image/284f7d12469c81532ee948105d561910.png,巴彦淖尔,临河区,解放西街当代华庭二期,"[""1"", ""2"", ""3""]","[""63"", ""124""]",1,5200,毛坯,巴彦淖尔市盛源房地产开发有限公司,住宅,0000-00-00 00:00:00,2020-01-01,"[""\u4f4e\u603b\u4ef7"", ""\u5c0f\u6237\u578b"", ""\u73b0\u623f"", ""\u8f66\u4f4d\u5145\u8db3""]","[""32.7"", ""64""]",3,https://byne.fang.lianjia.com/loupan/p_ddhteqbmevi/
世家广场,https://image1.ljcdn.com/newhouse-user-image/9b73430d027dc4e5363b5cccc9cbee58.png,巴彦淖尔,临河区,曙光街世家广场,"[""2"", ""3""]","[""83"", ""111""]",1,5500,毛坯,巴彦淖尔市世家房地产开发有限责任公司,住宅,0000-00-00 00:00:00,2020-01-01,"[""\u73b0\u623f"", ""\u8f66\u4f4d\u5145\u8db3""]","[""48"", ""65""]",3,https://byne.fang.lianjia.com/loupan/p_sjgcbmevj/
春雪山河墅8号,https://image1.ljcdn.com/newhouse-user-image/de84727c004aacd81856bb191da2dd3c.jpg,巴彦淖尔,临河区,西苑路春雪山河墅8号,"[""3""]","[""128"", ""159""]",1,5900,毛坯,内蒙古春雪置业有限公司,住宅,0000-00-00 00:00:00,2019-01-01,"[""\u4f4e\u603b\u4ef7"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a""]","[""68"", ""93.2""]",3,https://byne.fang.lianjia.com/loupan/p_cxshs8hbmevk/
大兴国际二期,https://image1.ljcdn.com/newhouse-user-image/b67911e60691e2dc0ad4823e3c855922.jpg,巴彦淖尔,临河区,临乌线大兴国际二期,"[""2"", ""3""]","[""82"", ""140""]",1,4300,毛坯,内蒙古圣雄房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-03-99,"[""\u8fd1\u4e3b\u5e72\u9053"", ""\u5f00\u53d1\u533a"", ""\u83dc\u5e02\u573a"", ""\u4eb2\u5b50\u4e50\u56ed""]","[""36"", ""61.6""]",3,https://byne.fang.lianjia.com/loupan/p_dxgjeqbmexh/
日月星苑,https://image1.ljcdn.com/newhouse-user-image/68307c3d8debf23ec6fb14133dc3bff4.jpg,巴彦淖尔,临河区,内蒙古自治区巴彦淖尔市临河区新华东街,"[""3""]","[""139""]",1,4350,毛坯,巴彦淖尔市馨禾房地产开发有限责任公司,住宅,0000-00-00 00:00:00,2021-05-01,"[""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a""]","[""62.7""]",3,https://byne.fang.lianjia.com/loupan/p_ryxybmffa/
日信中央公园F区,https://image1.ljcdn.com/newhouse-user-image/63c56da32bc8625cc4fee06c076aa9bc.jpg,巴彦淖尔,临河区,临五路日信中央公园F区,"[""2"", ""3""]","[""98"", ""128""]",1,4650,毛坯,内蒙古日信华元房地产开发有限责任公司,住宅,0000-00-00 00:00:00,2021-03-99,"[""\u4f4e\u603b\u4ef7"", ""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708""]","[""46"", ""60""]",3,https://byne.fang.lianjia.com/loupan/p_rxzygyFqbmffq/
万达·万尚城,https://image1.ljcdn.com/newhouse-user-image/136bd9524b2dfa3437660a85be58d4fb.jpg,巴彦淖尔,临河区,人民路万达·万尚城,"[""3""]","[""113"", ""142""]",1,4580,毛坯,巴彦淖尔市恒泽房地产开发有限公司,住宅,0000-00-00 00:00:00,,"[""VR\u770b\u623f"", ""\u4f18\u60e0\u697c\u76d8"", ""\u7eff\u5316\u7387\u9ad8""]","[""53"", ""66""]",3,https://byne.fang.lianjia.com/loupan/p_wdwscbmgta/
富源·幸福华庭,https://image1.ljcdn.com/newhouse-user-image/0d564dc6c3ada5ff4a54718289a807c0.png,巴彦淖尔,临河区,曙光街富源·幸福华庭,"[""2"", ""3"", ""4"", ""5""]","[""97"", ""249""]",1,5700,毛坯,内蒙古富源房地产开发有限公司,住宅,0000-00-00 00:00:00,2020-01-01,"[""\u4f4e\u603b\u4ef7"", ""VR\u770b\u623f"", ""\u4f18\u60e0\u697c\u76d8"", ""\u73b0\u623f""]","[""86.5"", ""154""]",3,https://byne.fang.lianjia.com/loupan/p_fyxfhtbmgzp/
富源·幸福里,https://image1.ljcdn.com/newhouse-user-image/20e49fb4dc46e3e6f1700e75c1267f1a.jpg,巴彦淖尔,临河区,曙光街富源幸福里南区,"[""3"", ""4""]","[""108"", ""157""]",1,5700,毛坯,内蒙古富源房地产开发有限公司,住宅,0000-00-00 00:00:00,2018-01-01,"[""\u4f4e\u603b\u4ef7"", ""VR\u770b\u623f"", ""\u4f18\u60e0\u697c\u76d8""]","[""59.4"", ""94""]",3,https://byne.fang.lianjia.com/loupan/p_fyxflbmhas/
奥林国际六区,https://image1.ljcdn.com/newhouse-user-image/ae9ec486d140c719703c3d9b24d22c03.png,巴彦淖尔,临河区,新华西街奥林国际六区,"[""3""]","[""136"", ""158""]",1,6400,毛坯,巴彦淖尔市新力置业（集团）股份有限公司,住宅,0000-00-00 00:00:00,2021-04-20,"[""\u591a\u8f68\u4ea4\u6c47"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u6210\u719f\u5546\u5708"", ""\u83dc\u5e02\u573a""]","[""87"", ""101""]",3,https://byne.fang.lianjia.com/loupan/p_algjlqbmhhf/
春雪山河森林公元D区,https://image1.ljcdn.com/newhouse-user-image/ba7e2ac0fc0d4dd48dbb08e88268b486.jpg,巴彦淖尔,临河区,朔方路春雪山河森林公元D区,"[""2""]","[""83"", ""92""]",1,4427,毛坯,内蒙古春雪置业有限公司,住宅,0000-00-00 00:00:00,2021-06-04,"[""VR\u770b\u623f"", ""\u4f18\u60e0\u697c\u76d8"", ""\u73b0\u623f"", ""\u4f4e\u5bc6\u5c45\u6240""]","[""36.6"", ""41""]",3,https://byne.fang.lianjia.com/loupan/p_cxshslgyDqbmhsx/
临河碧桂园,https://image1.ljcdn.com/newhouse-user-image/4af73e49800d8bae21591027fa245c7c.png,巴彦淖尔,临河区,河套大街临河碧桂园,"[""2"", ""3""]","[""90"", ""132""]",1,5400,毛坯,内蒙古玖章房地产开发有限公司,住宅,0000-00-00 00:00:00,2022-08-01,"[""\u4f4e\u603b\u4ef7"", ""VR\u770b\u623f"", ""\u4f18\u60e0\u697c\u76d8"", ""\u7eff\u5316\u7387\u9ad8""]","[""49.5"", ""72.6""]",3,https://byne.fang.lianjia.com/loupan/p_lhbgybmhsz/
万锦世纪城二期,https://image1.ljcdn.com/newhouse-user-image/f23577ff4d33a96aadd8d328ed4f0138.jpg,巴彦淖尔,临河区,水源路万锦世纪城二区,"[""2"", ""3""]","[""96"", ""161""]",1,6300,毛坯,内蒙古万锦开元房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-06-99,"[""\u4f4e\u5bc6\u5c45\u6240"", ""\u5373\u5c06\u4ea4\u623f""]","[""62"", ""104""]",3,https://byne.fang.lianjia.com/loupan/p_wjsjceqbmhzu/
兴盛国际二期C区,https://image1.ljcdn.com/newhouse-user-image/d1a91711cd73cc2ac8135cfeacb87be0.png,巴彦淖尔,临河区,河套大街兴盛国际二期C区,"[""2"", ""3""]","[""69"", ""131""]",1,7100,毛坯,内蒙古富莲房地产开发有限责任公司,住宅,0000-00-00 00:00:00,,"[""\u4f4e\u603b\u4ef7"", ""VR\u770b\u623f"", ""\u7eff\u5316\u7387\u9ad8""]","[""63.7"", ""96.9""]",3,https://byne.fang.lianjia.com/loupan/p_xsgjeqCqbmilb/
